County,Year,NPS_Enrollment
Pamlico,2016,246
Halifax,2016,923
Sampson,2015,1039
Warren,2015,187
Wake,2015,28596
Beaufort,2014,795
Edgecombe,2014,357
Nash,2012,1895
Robeson,2014,1389
Montgomery,2014,398
Buncombe,2012,6296
Person,2017,707
Carteret,2017,1609
Tyrrell,2017,50
Camden,2016,146
Yancey,2016,481
Ashe,2014,427
Tyrrell,2016,37
Columbus,2016,743
Haywood,2016,1132
Washington,2016,151
Johnston,2014,2977
Forsyth,2014,8000
Alleghany,2015,145
McDowell,2015,993
Halifax,2018,863
Lenoir,2018,1605
Vance,2018,1121
Washington,2018,147
Moore,2018,2854
Vance,2017,1133
Dare,2017,574
Caldwell,2015,1172
Greene,2015,211
Washington,2013,132
Currituck,2013,325
Davidson,2013,3140
McDowell,2016,1081
Scotland,2016,485
Bertie,2014,488
Washington,2012,119
Bladen,2012,330
Union,2012,4834
Polk,2013,343
Craven,2017,2514
Polk,2017,466
Union,2017,7190
Nash,2014,2196
Chatham,2015,985
Johnston,2013,2674
Lincoln,2018,1284
Pamlico,2018,244
Cherokee,2018,555
Greene,2018,286
Alleghany,2018,139
Forsyth,2018,9151
Tyrrell,2018,42
Warren,2018,197
Union,2018,7345
Duplin,2014,444
McDowell,2012,764
Northampton,2013,323
Stanly,2013,1177
Duplin,2017,536
Ashe,2015,490
Perquimans,2016,169
Stanly,2015,1397
Wilkes,2015,1421
Wayne,2015,2415
Avery,2017,394
Yadkin,2017,631
Avery,2015,324
Robeson,2013,1275
Vance,2014,1115
Bertie,2012,533
Pamlico,2013,197
Edgecombe,2012,288
Haywood,2012,873
Surry,2012,915
Mecklenburg,2012,26118
Cumberland,2016,8014
Columbus,2015,705
Cumberland,2017,8439
Nash,2017,2586
Cherokee,2016,530
Washington,2014,137
Bladen,2014,506
Richmond,2013,484
Cabarrus,2013,4394
Mitchell,2012,234
Wayne,2012,2099
Bertie,2018,513
Yancey,2018,547
Guilford,2018,11890
Franklin,2018,1869
Transylvania,2017,818
Scotland,2015,478
Richmond,2015,547
Brunswick,2015,1764
Cleveland,2015,1517
Warren,2013,170
Jones,2013,161
Northampton,2016,321
Sampson,2016,1120
Currituck,2012,274
Vance,2012,1199
Lincoln,2012,888
Greene,2013,203
Wake,2012,24642
Iredell,2012,2867
Chatham,2012,740
Guilford,2012,9833
Lee,2012,1096
Yancey,2017,518
Currituck,2015,373
New Hanover,2017,5086
Iredell,2016,3839
Lincoln,2016,1150
Madison,2016,682
Macon,2014,682
Camden,2015,121
Washington,2015,146
Davie,2013,607
Halifax,2012,988
Cleveland,2018,1709
Catawba,2018,3867
Onslow,2018,4705
Duplin,2018,465
Forsyth,2017,9081
Graham,2017,251
Rowan,2017,3546
Montgomery,2015,456
Wake,2013,25808
Wilkes,2012,1155
Person,2012,531
Northampton,2018,322
Stanly,2018,1629
Martin,2018,230
Lee,2018,1394
Wilson,2018,1891
Davie,2014,653
Haywood,2013,959
McDowell,2013,813
Polk,2012,308
Catawba,2012,2739
Caswell,2012,300
Craven,2015,2207
Mecklenburg,2015,27297
Henderson,2015,2977
Polk,2015,416
New Hanover,2018,5338
Person,2018,780
Pitt,2018,3537
Craven,2016,2315
Union,2014,6113
Robeson,2012,1355
Swain,2012,204
Gates,2018,244
Stanly,2017,1508
Davidson,2017,4124
Hertford,2015,525
Brunswick,2013,1435
Caldwell,2013,1000
Columbus,2013,658
Hyde,2016,130
Camden,2014,105
Greene,2014,198
McDowell,2017,1138
Macon,2015,791
Sampson,2017,1183
Graham,2016,230
Rowan,2014,2830
Cabarrus,2014,4605
Montgomery,2013,392
Vance,2013,1069
Macon,2017,868
Harnett,2017,2814
Durham,2017,7125
Greene,2016,238
Rutherford,2016,1322
Macon,2016,847
Randolph,2015,2962
Person,2015,623
Person,2014,598
Hertford,2013,531
Yadkin,2014,514
Wilkes,2018,1677
Dare,2018,565
Ashe,2018,617
Rowan,2018,3719
Surry,2018,1421
Northampton,2014,317
Watauga,2014,687
Wilson,2014,1676
Montgomery,2012,332
Jones,2012,149
Perquimans,2012,116
Rockingham,2017,1764
Davie,2017,863
Hoke,2017,1087
Clay,2017,230
Brunswick,2017,2071
Chowan,2016,158
Hertford,2016,546
Hoke,2016,983
Swain,2014,254
Chowan,2014,132
Randolph,2013,2672
Alleghany,2012,100
Catawba,2014,3107
Lee,2014,1194
Bertie,2016,504
Rowan,2016,3465
Franklin,2015,1458
Halifax,2015,880
Guilford,2014,10300
Hyde,2014,127
Lee,2017,1271
Orange,2017,2264
Caswell,2016,381
New Hanover,2015,5079
Hyde,2015,126
Nash,2015,2278
Wilson,2012,1603
Wilkes,2014,1323
Johnston,2016,3539
Alexander,2016,830
Anson,2016,272
Bladen,2015,549
Madison,2015,602
Wilson,2013,1685
Rockingham,2018,1844
Chatham,2018,1206
Robeson,2018,1718
Hoke,2018,1123
Carteret,2018,1736
Chowan,2018,173
Pamlico,2017,242
Graham,2015,211
Wilkes,2013,1252
Rowan,2013,2653
Chatham,2013,804
Nash,2016,2419
Davidson,2014,3403
Scotland,2017,521
Currituck,2016,392
Gaston,2016,4899
Bertie,2015,493
Beaufort,2015,868
Harnett,2016,2986
Northampton,2015,314
Rowan,2015,3081
Jackson,2014,576
Gates,2013,184
Ashe,2013,403
Halifax,2013,895
Carteret,2014,1206
Yancey,2014,417
Craven,2014,2132
Burke,2013,1099
Watauga,2013,624
Sampson,2013,959
Davidson,2012,2629
New Hanover,2012,4406
Iredell,2013,2992
Lee,2013,1174
Lenoir,2012,1389
Currituck,2017,425
Gaston,2017,5238
Chatham,2017,1156
Caldwell,2016,1277
Cleveland,2016,1607
Cumberland,2014,7064
Dare,2014,450
Surry,2013,972
Greene,2012,189
Yadkin,2018,572
Clay,2018,196
Camden,2017,127
Johnston,2017,3823
Mecklenburg,2017,28415
Watauga,2015,775
Transylvania,2013,629
Franklin,2013,1204
Scotland,2013,466
Franklin,2017,1664
Greene,2017,248
Caldwell,2017,1332
Hyde,2017,118
Davie,2016,802
Stokes,2014,915
Columbus,2014,681
Granville,2012,798
Durham,2012,5810
Burke,2015,1340
Clay,2013,148
Surry,2017,1382
Lincoln,2015,1044
Chatham,2014,890
Macon,2012,599
Onslow,2013,2547
Yancey,2012,350
Scotland,2014,472
Graham,2013,212
Swain,2013,216
Rutherford,2012,995
Henderson,2012,2469
Brunswick,2012,1245
Avery,2013,249
Stokes,2013,840
Pender,2017,1036
Richmond,2017,639
Burke,2016,1504
Lenoir,2016,1573
Transylvania,2014,666
Surry,2014,1060
Cabarrus,2012,4036
Yadkin,2013,477
McDowell,2018,1232
Hertford,2018,592
Caldwell,2018,1386
Bladen,2018,511
Orange,2018,2318
Richmond,2018,679
Perquimans,2018,175
Warren,2014,179
Lenoir,2017,1599
Cleveland,2017,1694
Moore,2017,2840
Union,2015,6384
Lenoir,2013,1358
Yancey,2013,368
Franklin,2016,1596
Cleveland,2012,1177
Graham,2012,193
Polk,2016,453
Davidson,2016,4004
Bladen,2016,533
Cumberland,2015,7279
Alleghany,2013,131
Montgomery,2018,548
Harnett,2018,3337
Gaston,2018,5231
Guilford,2016,11154
Yadkin,2016,605
Pender,2014,724
Hyde,2012,104
Rowan,2012,2633
Orange,2012,1898
Chowan,2012,111
Randolph,2017,3368
Cabarrus,2017,5356
Anson,2017,301
Ashe,2017,575
Wilkes,2016,1534
Wayne,2016,2530
Cabarrus,2015,5090
Richmond,2016,603
Onslow,2016,3809
Pitt,2016,3407
Gaston,2015,4558
Rockingham,2015,1520
Perquimans,2014,148
Lenoir,2014,1428
Martin,2014,193
Edgecombe,2013,343
Duplin,2013,403
Alamance,2013,2849
Hoke,2013,725
Wayne,2014,2296
Bladen,2013,431
Rutherford,2013,1052
Clay,2014,174
Lincoln,2013,985
Watauga,2012,603
Orange,2014,2115
Rockingham,2014,1378
Camden,2012,97
Edgecombe,2015,402
Bertie,2013,471
Sampson,2018,1103
Mecklenburg,2018,28815
Wayne,2017,2585
New Hanover,2013,4626
Martin,2013,163
Carteret,2013,1076
Dare,2013,401
Guilford,2013,10025
Transylvania,2016,815
Vance,2016,1063
Johnston,2012,2198
Onslow,2014,2974
Durham,2013,6006
Franklin,2014,1311
Pender,2013,657
Alexander,2012,577
Ashe,2012,371
Beaufort,2013,784
Lincoln,2014,1017
Pamlico,2014,215
Madison,2013,532
Pasquotank,2012,813
Columbus,2017,722
Alleghany,2017,163
Granville,2017,1001
Cabarrus,2016,5261
Watauga,2016,875
Pender,2016,931
Dare,2016,519
Mitchell,2016,316
Perquimans,2015,152
Sampson,2012,873
Stokes,2015,913
Camden,2013,99
Beaufort,2012,724
Duplin,2012,395
Caswell,2015,326
Cleveland,2013,1274
Harnett,2013,2147
Nash,2013,1998
Wayne,2013,2154
Hertford,2012,506
Rutherford,2018,1509
Davidson,2018,4310
Transylvania,2018,856
Pasquotank,2018,1372
Camden,2018,180
Burke,2018,1754
Jackson,2018,641
Randolph,2014,2822
Moore,2013,1986
Transylvania,2012,628
Dare,2012,389
Edgecombe,2017,461
Swain,2017,300
Haywood,2017,1188
Onslow,2017,4328
Scotland,2012,456
Jackson,2013,510
Perquimans,2013,126
Watauga,2017,882
Wilkes,2017,1544
Perquimans,2017,173
Alamance,2016,3471
Stanly,2016,1515
Person,2016,661
Anson,2014,227
Watauga,2018,958
Pender,2018,1148
Alexander,2018,927
Wake,2018,31589
Iredell,2018,4130
Macon,2018,806
Nash,2018,2569
Polk,2018,456
Caswell,2018,462
Granville,2018,973
Henderson,2017,3335
Guilford,2017,11394
Jackson,2017,728
Orange,2015,2212
Jackson,2015,627
Mitchell,2013,255
Rockingham,2013,1268
Carteret,2016,1497
Duplin,2016,506
Iredell,2014,3256
Alexander,2014,673
Halifax,2014,835
Harnett,2012,1971
Gates,2012,168
Cumberland,2012,6609
Cherokee,2012,372
Pitt,2014,3393
Pender,2012,561
Pitt,2017,3570
Gates,2015,204
Caswell,2017,425
Catawba,2015,3299
Buncombe,2016,7864
New Hanover,2016,5044
Stokes,2016,891
Burke,2012,1019
Franklin,2012,1116
Clay,2012,119
Edgecombe,2016,428
Clay,2016,202
Robeson,2015,1482
Granville,2013,783
Caswell,2013,311
Alamance,2017,3731
Bertie,2017,525
Pasquotank,2017,1278
Rutherford,2017,1422
Avery,2016,357
Union,2016,6932
Moore,2016,2613
Hertford,2014,500
Orange,2013,2010
Davie,2012,607
Jones,2018,216
Swain,2018,265
Avery,2018,380
Scotland,2018,585
Davie,2018,860
Randolph,2018,3421
Jones,2016,206
Surry,2016,1311
Pasquotank,2014,933
Wake,2014,27339
Burke,2014,1159
Caldwell,2012,953
Ashe,2016,525
Clay,2015,189
Carteret,2015,1386
Warren,2016,190
Pamlico,2015,218
Wilson,2015,1725
Vance,2015,1102
Yadkin,2015,563
Cherokee,2013,408
Catawba,2013,2875
Chowan,2013,110
Alexander,2013,611
Mecklenburg,2013,26769
Hoke,2012,652
Carteret,2012,961
Martin,2017,220
Chowan,2017,161
Chatham,2016,1073
Gates,2016,216
Chowan,2015,147
Wilson,2016,1773
Davidson,2015,3631
Durham,2015,6568
Duplin,2015,490
Davie,2015,748
Harnett,2015,2694
Iredell,2015,3541
Pasquotank,2015,1083
Johnston,2015,3254
Pender,2015,816
Tyrrell,2015,42
Yancey,2015,451
Moore,2014,2226
Buncombe,2014,7102
Craven,2012,1597
Northampton,2012,359
Mecklenburg,2014,26946
Hoke,2014,811
Warren,2017,213
Stanly,2012,1094
Anson,2018,296
Edgecombe,2018,470
Johnston,2018,4147
Brunswick,2018,2224
Graham,2018,211
Mecklenburg,2016,27902
Jackson,2016,679
Montgomery,2016,468
Avery,2014,279
Rutherford,2014,1117
Granville,2014,788
Graham,2014,209
Burke,2017,1634
Mitchell,2017,329
Madison,2017,687
Hyde,2013,118
Rockingham,2016,1659
Pasquotank,2013,880
Lee,2016,1312
Currituck,2014,343
Jones,2014,186
Gaston,2012,4005
Alexander,2017,882
Buncombe,2017,8000
Alleghany,2016,152
Henderson,2016,3128
Haywood,2015,1070
Hoke,2015,857
Mitchell,2015,274
Onslow,2015,3363
Jones,2015,210
Cherokee,2017,603
Halifax,2017,942
Washington,2017,163
Surry,2015,1191
Pitt,2015,3464
Macon,2013,670
Union,2013,5243
Columbus,2012,721
Madison,2012,483
Onslow,2012,2285
Sampson,2014,991
Gaston,2014,4298
Anson,2013,207
Person,2013,552
Brunswick,2016,1961
Pasquotank,2016,1203
Rockingham,2012,1226
Iredell,2017,3892
Rutherford,2015,1177
Beaufort,2017,990
Hertford,2017,551
Robeson,2017,1646
Robeson,2016,1602
Caldwell,2014,1062
Henderson,2014,2645
Richmond,2014,494
Alleghany,2014,163
Caswell,2014,297
Randolph,2016,3239
Swain,2016,275
Martin,2016,203
Durham,2016,6959
Madison,2014,552
Anson,2015,241
Cherokee,2015,461
Guilford,2015,10557
Martin,2015,200
Craven,2013,2047
Pamlico,2012,141
Columbus,2018,766
Alamance,2018,3941
Madison,2018,740
Hyde,2018,119
Currituck,2018,462
Cumberland,2018,8259
Mitchell,2018,327
Wilson,2017,1790
Montgomery,2017,521
Bladen,2017,513
Jones,2017,210
Alamance,2015,3216
Alexander,2015,781
Lenoir,2015,1481
Lee,2015,1255
Pitt,2013,3229
Granville,2016,897
Wake,2016,29529
Alamance,2014,2993
Tyrrell,2012,32
Martin,2012,155
Avery,2012,216
Yadkin,2012,434
Stokes,2012,786
Brunswick,2014,1560
Polk,2014,356
Forsyth,2012,7620
Jackson,2012,466
Catawba,2017,3639
Wake,2017,30874
Lincoln,2017,1250
Beaufort,2016,906
Catawba,2016,3545
Orange,2016,2297
Forsyth,2016,8764
Granville,2015,860
Randolph,2012,2450
Gates,2017,243
Northampton,2017,334
Stokes,2017,944
Transylvania,2015,731
Tyrrell,2013,38
Buncombe,2013,6658
Mitchell,2014,270
McDowell,2014,883
Tyrrell,2014,41
Stanly,2014,1292
Anson,2012,187
Haywood,2014,971
Cherokee,2014,396
Harnett,2014,2374
Durham,2014,6255
Buncombe,2015,7582
Swain,2015,279
Cumberland,2013,7029
Forsyth,2013,7752
Pitt,2012,3043
Richmond,2012,576
Warren,2012,172
Cabarrus,2018,5650
Craven,2018,2652
Buncombe,2018,8028
Wayne,2018,2765
Beaufort,2018,1024
Haywood,2018,1050
Stokes,2018,1013
Durham,2018,7242
Henderson,2018,3427
Moore,2015,2436
Forsyth,2015,8325
Dare,2015,504
Henderson,2013,2576
Gaston,2013,4235
New Hanover,2014,4764
Cleveland,2014,1395
Gates,2014,188
Moore,2012,1887
Alamance,2012,2653
